PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE
EQUIPO1,17:52:55,11,10391,17
EQUIPO1,17:52:57,15,10396,17
EQUIPO1,17:52:59,21,10396,17
EQUIPO1,17:53:01,19,10396,17
EQUIPO1,17:53:03,15,10396,17
EQUIPO1,17:53:06,13,10395,17
EQUIPO1,17:53:08,13,10393,17
EQUIPO1,17:53:10,22,10393,17
EQUIPO1,17:53:12,19,10394,17
EQUIPO1,17:53:14,12,10395,17
EQUIPO1,17:53:16,7,10396,17
EQUIPO1,17:53:18,12,10396,17
EQUIPO1,17:53:20,21,10396,17
EQUIPO1,17:53:22,13,10396,17
EQUIPO1,17:53:25,18,10242,16
EQUIPO1,17:53:29,18,10241,16
EQUIPO1,17:53:32,22,10242,16
EQUIPO1,17:53:34,13,10245,16
EQUIPO1,17:53:36,22,10244,16
EQUIPO1,17:53:38,13,10245,16
EQUIPO1,17:53:41,16,10245,16
EQUIPO1,17:53:43,18,10247,16
EQUIPO1,17:53:45,24,10253,16
EQUIPO1,17:53:47,13,10253,16
EQUIPO1,17:53:50,13,10252,16
EQUIPO1,17:53:52,4,10252,16
EQUIPO1,17:53:55,12,10249,16
EQUIPO1,17:53:57,19,10250,16
EQUIPO1,17:53:59,19,10250,16
EQUIPO1,17:54:01,22,10253,16
EQUIPO1,17:54:03,18,10253,16
EQUIPO1,17:54:05,21,10252,16
EQUIPO1,17:54:07,21,10252,16
EQUIPO1,17:54:09,12,10246,16
EQUIPO1,17:54:11,27,10246,16
EQUIPO1,17:54:13,4,10246,16
EQUIPO1,17:54:15,10,10248,16
EQUIPO1,17:54:17,12,10247,16
EQUIPO1,17:54:19,13,10246,16
EQUIPO1,17:54:22,8,10250,16
EQUIPO1,17:54:25,2,10249,16
EQUIPO1,17:54:27,13,10249,16
EQUIPO1,17:54:30,12,10250,16
EQUIPO1,17:54:32,13,10250,16
EQUIPO1,17:54:34,16,10251,16
EQUIPO1,17:54:36,16,10251,16
EQUIPO1,17:54:38,26,10251,16
EQUIPO1,17:54:41,24,10251,16
EQUIPO1,17:54:43,19,10253,16
EQUIPO1,17:54:45,38,10253,16
EQUIPO1,17:54:48,8,10252,16
EQUIPO1,17:54:50,22,10256,16
EQUIPO1,17:54:52,22,10256,16
EQUIPO1,17:54:54,15,10258,16
EQUIPO1,17:54:56,29,10259,16
EQUIPO1,17:54:58,12,10260,16
EQUIPO1,17:55:00,13,10260,16
EQUIPO1,17:55:02,8,10260,16
EQUIPO1,17:55:04,15,10260,16
EQUIPO1,17:55:06,13,10262,16
EQUIPO1,17:55:08,13,10265,16
EQUIPO1,17:55:10,24,10266,16
EQUIPO1,17:55:12,12,10267,16
EQUIPO1,17:55:14,16,10268,16
EQUIPO1,17:55:16,15,10268,16
EQUIPO1,17:55:19,15,10269,16
EQUIPO1,17:55:21,8,10268,16
EQUIPO1,17:55:24,21,10333,17
EQUIPO1,17:55:27,18,10310,17
EQUIPO1,17:55:29,4,10311,17
EQUIPO1,17:55:31,13,10312,17
EQUIPO1,17:55:33,12,10312,17
EQUIPO1,17:55:35,19,10313,17
EQUIPO1,17:55:37,18,10313,17
EQUIPO1,17:55:40,16,10314,17
EQUIPO1,17:55:42,15,10287,16
EQUIPO1,17:55:44,13,10285,16
EQUIPO1,17:55:46,15,10285,16
EQUIPO1,17:55:48,33,10284,16
EQUIPO1,17:55:50,18,10282,16
EQUIPO1,17:55:52,27,10282,16
EQUIPO1,17:55:54,15,10282,16
EQUIPO1,17:55:56,19,10282,16
EQUIPO1,17:55:58,12,10283,16
EQUIPO1,17:56:00,15,10284,16
