PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE 
DESKTOP-O325S3M,19:30:52,4,3904,54
DESKTOP-O325S3M,19:30:55,4,3904,54
DESKTOP-O325S3M,19:30:58,22,3905,54
DESKTOP-O325S3M,19:31:01,7,3905,54
DESKTOP-O325S3M,19:31:04,5,3905,54
DESKTOP-O325S3M,19:31:07,1,3906,54
DESKTOP-O325S3M,19:31:10,10,3905,54
DESKTOP-O325S3M,19:31:13,16,3904,54
DESKTOP-O325S3M,19:31:16,11,3905,54
DESKTOP-O325S3M,19:31:19,5,3905,54
DESKTOP-O325S3M,19:31:22,27,3907,54
DESKTOP-O325S3M,19:31:25,8,3907,54
DESKTOP-O325S3M,19:31:28,5,3911,54
DESKTOP-O325S3M,19:31:31,4,3911,54
DESKTOP-O325S3M,19:31:34,13,3912,54
DESKTOP-O325S3M,19:31:37,16,3912,54
DESKTOP-O325S3M,19:31:40,4,3912,54
DESKTOP-O325S3M,19:31:43,5,3916,54
DESKTOP-O325S3M,19:31:46,15,3916,54
DESKTOP-O325S3M,19:31:49,15,3916,54
DESKTOP-O325S3M,19:31:52,19,3916,54
DESKTOP-O325S3M,19:31:55,4,3916,54
DESKTOP-O325S3M,19:31:58,8,3920,54
DESKTOP-O325S3M,19:32:01,21,3920,54
DESKTOP-O325S3M,19:32:04,8,3920,54
DESKTOP-O325S3M,19:32:07,5,3920,54
DESKTOP-O325S3M,19:32:10,5,3919,54
DESKTOP-O325S3M,19:32:13,21,3919,54
DESKTOP-O325S3M,19:32:16,12,3919,54
DESKTOP-O325S3M,19:32:19,2,3919,54
DESKTOP-O325S3M,19:32:22,19,3923,54
DESKTOP-O325S3M,19:32:25,2,3923,54
DESKTOP-O325S3M,19:32:28,12,3924,54
DESKTOP-O325S3M,19:32:31,27,3935,54
DESKTOP-O325S3M,19:32:34,11,3936,54
DESKTOP-O325S3M,19:32:37,14,3940,54
DESKTOP-O325S3M,19:32:40,18,3939,54
DESKTOP-O325S3M,19:32:43,5,3941,54
DESKTOP-O325S3M,19:32:46,25,3937,54
DESKTOP-O325S3M,19:32:49,21,3936,54
DESKTOP-O325S3M,19:32:52,31,3941,54
DESKTOP-O325S3M,19:32:55,7,3941,54
DESKTOP-O325S3M,19:32:58,5,3941,54
DESKTOP-O325S3M,19:33:01,22,3946,55
DESKTOP-O325S3M,19:33:04,5,3946,55
DESKTOP-O325S3M,19:33:07,10,3945,55
DESKTOP-O325S3M,19:33:10,15,3945,55
DESKTOP-O325S3M,19:33:13,5,3950,55
DESKTOP-O325S3M,19:33:16,7,3950,55
DESKTOP-O325S3M,19:33:19,11,3950,55
