PC_NAME,HOUR,x,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE
HOM102604,22:20:59,64,2,1205,7
HOM102604,22:21:01,64,1,1206,7
HOM102604,22:21:03,67,1,1206,7
HOM102604,22:21:05,67,2,1207,7
HOM102604,22:21:07,67,2,1206,7
HOM102604,22:21:09,72,1,1206,7
HOM102604,22:21:11,66,2,1207,7
HOM102604,22:21:13,69,7,1207,7
HOM102604,22:21:15,73,1,1208,7
HOM102604,22:21:17,66,2,1208,7
HOM102604,22:21:19,72,1,1209,7
HOM102604,22:21:21,77,1,1210,7
HOM102604,22:21:23,69,1,1211,7
HOM102604,22:21:25,78,1,1211,7
HOM102604,22:21:27,64,1,1212,7
HOM102604,22:21:29,64,1,1218,7
HOM102604,22:21:31,67,1,1219,7
HOM102604,22:21:33,63,13,1248,8
HOM102604,22:21:35,60,1,1247,8
HOM102604,22:21:37,69,2,1239,8
HOM102604,22:21:39,71,2,1239,8
HOM102604,22:21:41,75,1,1239,8
HOM102604,22:21:43,69,4,1239,8
HOM102604,22:21:45,75,4,1239,8
HOM102604,22:21:47,68,1,1239,8
HOM102604,22:21:49,74,1,1239,8
HOM102604,22:21:51,61,51,1239,8
HOM102604,22:21:53,75,2,1239,8
HOM102604,22:21:55,68,1,1239,8
HOM102604,22:21:57,66,1,1239,8
HOM102604,22:21:59,69,1,1240,8
HOM102604,22:22:01,69,2,1240,8
HOM102604,22:22:03,76,2,1241,8
HOM102604,22:22:05,72,2,1241,8
HOM102604,22:22:07,85,1,1242,8
HOM102604,22:22:09,58,1,1242,8
HOM102604,22:22:11,62,2,1242,8
HOM102604,22:22:13,76,2,1242,8
HOM102604,22:22:15,69,1,1241,8
HOM102604,22:22:17,73,1,1241,8
HOM102604,22:22:19,77,1,1243,8
HOM102604,22:22:21,65,5,1243,8
HOM102604,22:22:23,68,2,1244,8
HOM102604,22:22:25,70,1,1245,8
HOM102604,22:22:27,65,2,1246,8
HOM102604,22:22:29,66,1,1246,8
HOM102604,22:22:31,68,4,1249,8
HOM102604,22:22:33,74,1,1249,8
HOM102604,22:22:35,63,1,1249,8
HOM102604,22:22:37,73,1,1240,8
HOM102604,22:22:39,71,1,1240,8
HOM102604,22:22:41,74,1,1240,8
HOM102604,22:22:43,67,1,1240,8
HOM102604,22:22:45,70,1,1240,8
HOM102604,22:22:47,87,1,1240,8
HOM102604,22:22:49,67,4,1240,8
HOM102604,22:22:51,67,34,1240,8
HOM102604,22:22:53,71,1,1240,8
HOM102604,22:22:55,68,1,1241,8
HOM102604,22:22:57,73,1,1241,8
HOM102604,22:22:59,68,1,1241,8
HOM102604,22:23:01,68,2,1241,8
HOM102604,22:23:03,72,1,1242,8
HOM102604,22:23:05,70,0,1242,8
HOM102604,22:23:07,73,0,1243,8
HOM102604,22:23:09,62,1,1244,8
HOM102604,22:23:11,67,1,1243,8
HOM102604,22:23:13,70,1,1243,8
HOM102604,22:23:15,76,1,1244,8
HOM102604,22:23:17,69,1,1244,8
HOM102604,22:23:19,72,1,1244,8
HOM102604,22:23:21,64,1,1244,8
HOM102604,22:23:23,72,1,1245,8
HOM102604,22:23:25,75,1,1245,8
HOM102604,22:23:27,72,1,1245,8
HOM102604,22:23:29,67,1,1246,8
HOM102604,22:23:31,72,2,1246,8
HOM102604,22:23:33,64,2,1247,8
HOM102604,22:23:35,69,1,1247,8
HOM102604,22:23:37,72,1,1241,8
HOM102604,22:23:39,73,1,1240,8
HOM102604,22:23:41,63,1,1240,8
HOM102604,22:23:43,66,2,1238,8
HOM102604,22:23:45,61,2,1238,8
HOM102604,22:23:47,67,1,1239,8
HOM102604,22:23:49,72,1,1239,8
HOM102604,22:23:51,80,5,1239,8
HOM102604,22:23:53,72,2,1239,8
HOM102604,22:23:55,77,1,1240,8
HOM102604,22:23:57,69,1,1240,8
HOM102604,22:23:59,72,2,1241,8
HOM102604,22:24:01,63,2,1242,8
HOM102604,22:24:03,69,1,1242,8
HOM102604,22:24:05,75,2,1243,8
HOM102604,22:24:07,64,1,1243,8
HOM102604,22:24:09,64,1,1243,8
HOM102604,22:24:11,69,1,1243,8
HOM102604,22:24:13,83,1,1244,8
HOM102604,22:24:15,74,1,1244,8
HOM102604,22:24:17,58,1,1243,8
HOM102604,22:24:19,69,1,1244,8
HOM102604,22:24:21,71,1,1244,8
HOM102604,22:24:23,65,1,1244,8
HOM102604,22:24:25,65,1,1245,8
HOM102604,22:24:27,68,1,1245,8
HOM102604,22:24:29,72,1,1246,8
HOM102604,22:24:31,77,1,1246,8
HOM102604,22:24:33,63,2,1247,8
HOM102604,22:24:35,58,1,1248,8
HOM102604,22:24:37,74,1,1240,8
HOM102604,22:24:39,63,1,1240,8
HOM102604,22:24:41,65,5,1240,8
HOM102604,22:24:43,62,1,1240,8
HOM102604,22:24:45,73,1,1239,8
HOM102604,22:24:47,76,2,1239,8
HOM102604,22:24:49,60,11,1239,8
HOM102604,22:24:51,68,24,1240,8
HOM102604,22:24:53,71,1,1241,8
HOM102604,22:24:55,76,1,1241,8
HOM102604,22:24:57,68,1,1242,8
HOM102604,22:24:59,68,2,1242,8
HOM102604,22:25:01,73,2,1243,8
HOM102604,22:25:03,74,1,1243,8
HOM102604,22:25:05,63,1,1243,8
HOM102604,22:25:07,70,2,1244,8
HOM102604,22:25:09,64,2,1244,8
HOM102604,22:25:11,65,2,1245,8
HOM102604,22:25:13,70,2,1245,8
HOM102604,22:25:15,75,1,1245,8
HOM102604,22:25:17,64,2,1245,8
HOM102604,22:25:19,65,1,1244,8
HOM102604,22:25:21,73,2,1244,8
HOM102604,22:25:23,67,1,1244,8
HOM102604,22:25:25,75,2,1245,8
HOM102604,22:25:27,65,2,1245,8
HOM102604,22:25:29,72,1,1246,8
HOM102604,22:25:31,64,1,1246,8
HOM102604,22:25:33,65,0,1248,8
HOM102604,22:25:35,67,1,1249,8
HOM102604,22:25:37,73,2,1241,8
HOM102604,22:25:39,64,1,1241,8
HOM102604,22:25:41,67,1,1241,8
HOM102604,22:25:43,69,1,1240,8
HOM102604,22:25:45,69,1,1240,8
HOM102604,22:25:47,75,2,1241,8
HOM102604,22:25:49,64,2,1240,8
HOM102604,22:25:51,61,30,1240,8
HOM102604,22:25:53,73,1,1240,8
HOM102604,22:25:55,59,1,1240,8
HOM102604,22:25:57,80,2,1240,8
HOM102604,22:25:59,72,2,1241,8
HOM102604,22:26:01,74,2,1241,8
HOM102604,22:26:03,75,1,1241,8
HOM102604,22:26:05,64,4,1242,8
HOM102604,22:26:07,69,1,1243,8
HOM102604,22:26:09,74,1,1243,8
